requirement_text,primary_service,service_category,complexity_level,deployment_scenario,keywords_extracted,reference_url
Build event-driven architectures that respond to changes in data streams and requests. This requirement comes from a enterprise environment with medium complexity and focuses on serverless-centric operations.,AWS Lambda,Compute,Medium,Enterprise,serverless,https://aws.amazon.com/lambda/
Enforce least-privilege principles across AWS accounts and workloads. This requirement comes from a startup environment with high complexity and focuses on secrets-centric operations.,AWS IAM,Security,High,Startup,secrets,https://aws.amazon.com/iam/
Provide highly available domain name system routing for internet applications. This requirement comes from a migration environment with high complexity and focuses on routing-centric operations.,Amazon Route 53,Networking,High,Migration,routing,https://aws.amazon.com/route53/
Control fine-grained access to application secrets using identity and access policies. This requirement comes from a enterprise environment with medium complexity and focuses on access-centric operations.,AWS Secrets Manager,Security,Medium,Enterprise,access,https://aws.amazon.com/secrets-manager/
Control fine-grained access to application secrets using identity and access policies. This requirement comes from a multi-region environment with high complexity and focuses on firewall-centric operations.,AWS Secrets Manager,Security,High,Multi-Region,firewall,https://aws.amazon.com/secrets-manager/
Create and manage cryptographic keys used to encrypt data at rest and in transit. This requirement comes from a analytics pipeline environment with medium complexity and focuses on secrets-centric operations.,AWS KMS,Security,Medium,Analytics Pipeline,secrets,https://aws.amazon.com/kms/
"Support flexible schema requirements for user profiles, IoT telemetry, and session data. This requirement comes from a iot system environment with low complexity and focuses on nosql-centric operations.",Amazon DynamoDB,Database,Low,IoT System,nosql,https://aws.amazon.com/dynamodb/
Control fine-grained access to application secrets using identity and access policies. This requirement comes from a iot system environment with low complexity and focuses on identity-centric operations.,AWS Secrets Manager,Security,Low,IoT System,identity,https://aws.amazon.com/secrets-manager/
Provide SSD-backed storage for performance-sensitive compute tasks. This requirement comes from a iot system environment with low complexity and focuses on object-centric operations.,Amazon EBS,Storage,Low,IoT System,object,https://aws.amazon.com/ebs/
Build event-driven architectures that respond to changes in data streams and requests. This requirement comes from a analytics pipeline environment with low complexity and focuses on vm-centric operations.,AWS Lambda,Compute,Low,Analytics Pipeline,vm,https://aws.amazon.com/lambda/
Remove hard-coded secrets from application configuration and deployment workflows. This requirement comes from a analytics pipeline environment with medium complexity and focuses on access-centric operations.,AWS Secrets Manager,Security,Medium,Analytics Pipeline,access,https://aws.amazon.com/secrets-manager/
Support low-latency read write operations for databases and line-of-business applications. This requirement comes from a multi-region environment with low complexity and focuses on object-centric operations.,Amazon EBS,Storage,Low,Multi-Region,object,https://aws.amazon.com/ebs/
Host legacy enterprise workloads that require persistent compute instances. This requirement comes from a migration environment with high complexity and focuses on deploy-centric operations.,Amazon EC2,Compute,High,Migration,deploy,https://aws.amazon.com/ec2/
"Automatically handle capacity provisioning, load balancing, and health monitoring for applications. This requirement comes from a analytics pipeline environment with low complexity and focuses on deploy-centric operations.",Elastic Beanstalk,Compute,Low,Analytics Pipeline,deploy,https://aws.amazon.com/elasticbeanstalk/
Execute short-lived functions that scale automatically with incoming workload. This requirement comes from a iot system environment with medium complexity and focuses on vm-centric operations.,AWS Lambda,Compute,Medium,IoT System,vm,https://aws.amazon.com/lambda/
Provide high-availability relational database instances with read replicas. This requirement comes from a startup environment with medium complexity and focuses on cache-centric operations.,Amazon RDS,Database,Medium,Startup,cache,https://aws.amazon.com/rds/
Filter and block malicious requests at the edge before they reach application servers. This requirement comes from a analytics pipeline environment with low complexity and focuses on encrypt-centric operations.,AWS WAF,Security,Low,Analytics Pipeline,encrypt,https://aws.amazon.com/waf/
Apply managed and custom rules to inspect HTTP and HTTPS traffic patterns. This requirement comes from a multi-region environment with high complexity and focuses on identity-centric operations.,AWS WAF,Security,High,Multi-Region,identity,https://aws.amazon.com/waf/
Protect web applications by integrating with security services at the content delivery edge. This requirement comes from a migration environment with low complexity and focuses on latency-centric operations.,Amazon CloudFront,Networking,Low,Migration,latency,https://aws.amazon.com/cloudfront/
